IF set: {'37'}  THEN set: {'1'}  CONFIDENCE: 0.9362745098039216
IF set: {'5', '38', '86', '93'}  THEN set: {'23'}  CONFIDENCE: 0.8142857142857143
IF set: {'5', '86', '23', '36'}  THEN set: {'93', '14'}  CONFIDENCE: 0.8900523560209425
IF set: {'5', '86', '36', '93'}  THEN set: {'23', '14'}  CONFIDENCE: 0.7623318385650224
IF set: {'5', '86', '36', '14'}  THEN set: {'23', '93'}  CONFIDENCE: 0.6854838709677419
IF set: {'86', '23', '5', '14'}  THEN set: {'36', '93'}  CONFIDENCE: 0.8808290155440415
IF set: {'93', '86', '5', '14'}  THEN set: {'23', '36'}  CONFIDENCE: 0.7555555555555555
IF set: {'5', '93', '86', '23', '36'}  THEN set: {'14'}  CONFIDENCE: 0.96045197740113
IF set: {'5', '86', '23', '36', '14'}  THEN set: {'93'}  CONFIDENCE: 0.9239130434782609
IF set: {'5', '93', '86', '36', '14'}  THEN set: {'23'}  CONFIDENCE: 0.794392523364486
IF set: {'5', '93', '86', '23', '14'}  THEN set: {'36'}  CONFIDENCE: 0.96045197740113
IF set: {'39', '5', '23', '86'}  THEN set: {'14', '36', '93'}  CONFIDENCE: 0.8542713567839196
IF set: {'39', '5', '86', '93'}  THEN set: {'23', '36', '14'}  CONFIDENCE: 0.7296137339055794
IF set: {'5', '39', '23', '86', '36'}  THEN set: {'93', '14'}  CONFIDENCE: 0.8994708994708994
IF set: {'5', '93', '39', '86', '36'}  THEN set: {'23', '14'}  CONFIDENCE: 0.7727272727272727
IF set: {'5', '39', '86', '36', '14'}  THEN set: {'23', '93'}  CONFIDENCE: 0.6854838709677419
IF set: {'5', '93', '39', '23', '86'}  THEN set: {'36', '14'}  CONFIDENCE: 0.9340659340659341
IF set: {'5', '39', '23', '86', '14'}  THEN set: {'36', '93'}  CONFIDENCE: 0.8808290155440415
IF set: {'5', '93', '39', '86', '14'}  THEN set: {'23', '36'}  CONFIDENCE: 0.7555555555555555
IF set: {'5', '93', '86', '23', '36', '14'}  THEN set: {'39'}  CONFIDENCE: 1.0
IF set: {'5', '93', '39', '23', '86', '36'}  THEN set: {'14'}  CONFIDENCE: 0.9714285714285714
IF set: {'5', '39', '23', '86', '36', '14'}  THEN set: {'93'}  CONFIDENCE: 0.9239130434782609
IF set: {'5', '93', '39', '86', '36', '14'}  THEN set: {'23'}  CONFIDENCE: 0.794392523364486
IF set: {'5', '93', '39', '23', '86', '14'}  THEN set: {'36'}  CONFIDENCE: 0.96045197740113
IF set: {'5', '86', '36'}  THEN set: {'39', '23', '93'}  CONFIDENCE: 0.6529850746268657
IF set: {'39', '5', '86', '36'}  THEN set: {'23', '93'}  CONFIDENCE: 0.6679389312977099
IF set: {'5', '86', '14'}  THEN set: {'23', '93'}  CONFIDENCE: 0.6654135338345865
IF set: {'39', '5', '86', '14'}  THEN set: {'23', '93'}  CONFIDENCE: 0.6654135338345865
IF set: {'5', '38', '86', '14'}  THEN set: {'23', '93'}  CONFIDENCE: 0.6827309236947792
IF set: {'5', '38', '93', '86', '23'}  THEN set: {'14'}  CONFIDENCE: 0.9941520467836257
IF set: {'5', '38', '86', '23', '14'}  THEN set: {'93'}  CONFIDENCE: 0.9340659340659341
IF set: {'5', '38', '93', '86', '14'}  THEN set: {'23'}  CONFIDENCE: 0.8095238095238095
IF set: {'39', '5', '38', '86'}  THEN set: {'23', '93'}  CONFIDENCE: 0.6867469879518072
IF set: {'5', '38', '39', '23', '86'}  THEN set: {'93'}  CONFIDENCE: 0.9395604395604396
IF set: {'5', '38', '93', '39', '86'}  THEN set: {'23'}  CONFIDENCE: 0.8142857142857143
IF set: {'5', '86'}  THEN set: {'38', '93'}  CONFIDENCE: 0.7167235494880546
IF set: {'39', '86', '5'}  THEN set: {'14', '36', '93'}  CONFIDENCE: 0.7508771929824561
IF set: {'60', '5', '86'}  THEN set: {'93'}  CONFIDENCE: 0.8464912280701754
IF set: {'92', '5', '86'}  THEN set: {'60', '93'}  CONFIDENCE: 0.726530612244898
IF set: {'60', '5', '86', '93'}  THEN set: {'92'}  CONFIDENCE: 0.9222797927461139
IF set: {'92', '5', '86', '93'}  THEN set: {'60'}  CONFIDENCE: 0.8317757009345794
IF set: {'60', '5', '86', '92'}  THEN set: {'93'}  CONFIDENCE: 0.8855721393034826
IF set: {'60', '5', '38', '86'}  THEN set: {'92', '93'}  CONFIDENCE: 0.7807017543859649
IF set: {'92', '5', '38', '86'}  THEN set: {'60', '93'}  CONFIDENCE: 0.8018018018018018
IF set: {'5', '38', '93', '60', '86'}  THEN set: {'92'}  CONFIDENCE: 0.9222797927461139
IF set: {'5', '38', '93', '92', '86'}  THEN set: {'60'}  CONFIDENCE: 0.9128205128205128
IF set: {'5', '38', '60', '86', '92'}  THEN set: {'93'}  CONFIDENCE: 0.8855721393034826
IF set: {'5', '93', '60', '86', '92'}  THEN set: {'38'}  CONFIDENCE: 1.0
IF set: {'60', '5', '86', '14'}  THEN set: {'92', '93'}  CONFIDENCE: 0.7807017543859649
IF set: {'92', '5', '86', '14'}  THEN set: {'60', '93'}  CONFIDENCE: 0.7574468085106383
IF set: {'5', '93', '60', '86', '14'}  THEN set: {'92'}  CONFIDENCE: 0.9222797927461139
IF set: {'5', '93', '92', '86', '14'}  THEN set: {'60'}  CONFIDENCE: 0.8640776699029126
IF set: {'5', '60', '86', '14', '92'}  THEN set: {'93'}  CONFIDENCE: 0.8855721393034826
IF set: {'5', '38', '60', '86', '14'}  THEN set: {'92', '93'}  CONFIDENCE: 0.7807017543859649
IF set: {'5', '38', '92', '86', '14'}  THEN set: {'60', '93'}  CONFIDENCE: 0.8018018018018018
IF set: {'5', '38', '93', '60', '86', '14'}  THEN set: {'92'}  CONFIDENCE: 0.9222797927461139
IF set: {'5', '38', '93', '60', '86', '92'}  THEN set: {'14'}  CONFIDENCE: 1.0
IF set: {'5', '38', '93', '92', '86', '14'}  THEN set: {'60'}  CONFIDENCE: 0.9128205128205128
IF set: {'5', '38', '60', '86', '14', '92'}  THEN set: {'93'}  CONFIDENCE: 0.8855721393034826
IF set: {'5', '93', '60', '86', '14', '92'}  THEN set: {'38'}  CONFIDENCE: 1.0
IF set: {'60', '5', '86', '36'}  THEN set: {'93'}  CONFIDENCE: 0.8672985781990521
IF set: {'92', '5', '86', '36'}  THEN set: {'60', '93'}  CONFIDENCE: 0.7381974248927039
IF set: {'5', '93', '60', '86', '36'}  THEN set: {'92'}  CONFIDENCE: 0.9398907103825137
IF set: {'5', '93', '92', '86', '36'}  THEN set: {'60'}  CONFIDENCE: 0.8514851485148515
IF set: {'5', '60', '86', '36', '92'}  THEN set: {'93'}  CONFIDENCE: 0.900523560209424
IF set: {'5', '38', '86', '36'}  THEN set: {'60', '93', '92'}  CONFIDENCE: 0.7445887445887446
IF set: {'5', '38', '93', '86', '36'}  THEN set: {'60', '92'}  CONFIDENCE: 0.86
IF set: {'5', '38', '60', '86', '36'}  THEN set: {'92', '93'}  CONFIDENCE: 0.8151658767772512
IF set: {'5', '38', '92', '86', '36'}  THEN set: {'60', '93'}  CONFIDENCE: 0.8151658767772512
IF set: {'5', '38', '93', '60', '86', '36'}  THEN set: {'92'}  CONFIDENCE: 0.9398907103825137
IF set: {'5', '38', '93', '92', '86', '36'}  THEN set: {'60'}  CONFIDENCE: 0.9297297297297298
IF set: {'5', '38', '60', '86', '36', '92'}  THEN set: {'93'}  CONFIDENCE: 0.900523560209424
IF set: {'5', '93', '60', '86', '36', '92'}  THEN set: {'38'}  CONFIDENCE: 1.0
IF set: {'5', '60', '86', '36', '14'}  THEN set: {'92', '93'}  CONFIDENCE: 0.8151658767772512
IF set: {'5', '92', '86', '36', '14'}  THEN set: {'60', '93'}  CONFIDENCE: 0.7678571428571429
IF set: {'5', '93', '60', '86', '36', '14'}  THEN set: {'92'}  CONFIDENCE: 0.9398907103825137
IF set: {'5', '93', '92', '86', '36', '14'}  THEN set: {'60'}  CONFIDENCE: 0.8775510204081632
IF set: {'5', '60', '86', '36', '14', '92'}  THEN set: {'93'}  CONFIDENCE: 0.900523560209424
IF set: {'5', '38', '86', '36', '14'}  THEN set: {'60', '93', '92'}  CONFIDENCE: 0.7359307359307359
IF set: {'5', '38', '93', '86', '36', '14'}  THEN set: {'60', '92'}  CONFIDENCE: 0.85
IF set: {'5', '38', '60', '86', '36', '14'}  THEN set: {'92', '93'}  CONFIDENCE: 0.8056872037914692
IF set: {'5', '38', '92', '86', '36', '14'}  THEN set: {'60', '93'}  CONFIDENCE: 0.8056872037914692
IF set: {'5', '38', '93', '60', '86', '36', '14'}  THEN set: {'92'}  CONFIDENCE: 0.9289617486338798
IF set: {'5', '38', '93', '60', '86', '36', '92'}  THEN set: {'14'}  CONFIDENCE: 0.9883720930232558
IF set: {'5', '38', '93', '92', '86', '36', '14'}  THEN set: {'60'}  CONFIDENCE: 0.918918918918919
IF set: {'5', '38', '60', '86', '36', '14', '92'}  THEN set: {'93'}  CONFIDENCE: 0.8900523560209425
IF set: {'5', '93', '60', '86', '36', '14', '92'}  THEN set: {'38'}  CONFIDENCE: 0.9883720930232558
IF set: {'5', '38', '93', '60', '86', '14', '92'}  THEN set: {'36'}  CONFIDENCE: 0.9550561797752809
IF set: {'60', '39', '5', '86'}  THEN set: {'36', '93'}  CONFIDENCE: 0.8026315789473685
IF set: {'5', '60', '39', '86', '36'}  THEN set: {'93'}  CONFIDENCE: 0.8672985781990521
IF set: {'5', '93', '60', '39', '86'}  THEN set: {'36'}  CONFIDENCE: 0.9481865284974094
IF set: {'92', '39', '5', '86'}  THEN set: {'60', '36', '93'}  CONFIDENCE: 0.7020408163265306
IF set: {'5', '92', '39', '86', '36'}  THEN set: {'60', '93'}  CONFIDENCE: 0.7381974248927039
IF set: {'5', '93', '92', '39', '86'}  THEN set: {'60', '36'}  CONFIDENCE: 0.8037383177570093
IF set: {'5', '60', '39', '86', '92'}  THEN set: {'36', '93'}  CONFIDENCE: 0.8557213930348259
IF set: {'5', '93', '60', '39', '86', '36'}  THEN set: {'92'}  CONFIDENCE: 0.9398907103825137
IF set: {'5', '93', '92', '39', '86', '36'}  THEN set: {'60'}  CONFIDENCE: 0.8514851485148515
IF set: {'5', '60', '39', '86', '36', '92'}  THEN set: {'93'}  CONFIDENCE: 0.900523560209424
IF set: {'5', '93', '60', '39', '86', '92'}  THEN set: {'36'}  CONFIDENCE: 0.9662921348314607
IF set: {'5', '38', '39', '86', '36'}  THEN set: {'60', '93', '92'}  CONFIDENCE: 0.7445887445887446
IF set: {'5', '38', '60', '39', '86'}  THEN set: {'92', '36', '93'}  CONFIDENCE: 0.7543859649122807
IF set: {'5', '38', '92', '39', '86'}  THEN set: {'60', '36', '93'}  CONFIDENCE: 0.7747747747747747
IF set: {'5', '38', '93', '39', '86', '36'}  THEN set: {'60', '92'}  CONFIDENCE: 0.86
IF set: {'5', '38', '60', '39', '86', '36'}  THEN set: {'92', '93'}  CONFIDENCE: 0.8151658767772512
IF set: {'5', '38', '92', '39', '86', '36'}  THEN set: {'60', '93'}  CONFIDENCE: 0.8151658767772512
IF set: {'5', '38', '93', '60', '39', '86'}  THEN set: {'92', '36'}  CONFIDENCE: 0.8911917098445595
IF set: {'5', '38', '93', '92', '39', '86'}  THEN set: {'60', '36'}  CONFIDENCE: 0.882051282051282
IF set: {'5', '38', '60', '39', '86', '92'}  THEN set: {'36', '93'}  CONFIDENCE: 0.8557213930348259
IF set: {'5', '38', '93', '60', '39', '86', '36'}  THEN set: {'92'}  CONFIDENCE: 0.9398907103825137
IF set: {'5', '38', '93', '92', '39', '86', '36'}  THEN set: {'60'}  CONFIDENCE: 0.9297297297297298
IF set: {'5', '38', '60', '39', '86', '36', '92'}  THEN set: {'93'}  CONFIDENCE: 0.900523560209424
IF set: {'5', '93', '60', '39', '86', '36', '92'}  THEN set: {'38'}  CONFIDENCE: 1.0
IF set: {'5', '38', '93', '60', '39', '86', '92'}  THEN set: {'36'}  CONFIDENCE: 0.9662921348314607
IF set: {'5', '60', '39', '86', '14'}  THEN set: {'92', '36', '93'}  CONFIDENCE: 0.7543859649122807
IF set: {'5', '92', '39', '86', '14'}  THEN set: {'60', '36', '93'}  CONFIDENCE: 0.7319148936170212
IF set: {'5', '60', '39', '86', '36', '14'}  THEN set: {'92', '93'}  CONFIDENCE: 0.8151658767772512
IF set: {'5', '92', '39', '86', '36', '14'}  THEN set: {'60', '93'}  CONFIDENCE: 0.7678571428571429
IF set: {'5', '93', '60', '39', '86', '14'}  THEN set: {'92', '36'}  CONFIDENCE: 0.8911917098445595
IF set: {'5', '93', '92', '39', '86', '14'}  THEN set: {'60', '36'}  CONFIDENCE: 0.8349514563106796
IF set: {'5', '60', '39', '86', '14', '92'}  THEN set: {'36', '93'}  CONFIDENCE: 0.8557213930348259
IF set: {'5', '93', '60', '39', '86', '36', '14'}  THEN set: {'92'}  CONFIDENCE: 0.9398907103825137
IF set: {'5', '93', '92', '39', '86', '36', '14'}  THEN set: {'60'}  CONFIDENCE: 0.8775510204081632
IF set: {'5', '60', '39', '86', '36', '14', '92'}  THEN set: {'93'}  CONFIDENCE: 0.900523560209424
IF set: {'5', '93', '60', '39', '86', '14', '92'}  THEN set: {'36'}  CONFIDENCE: 0.9662921348314607
IF set: {'5', '38', '39', '86', '14'}  THEN set: {'60', '36', '93', '92'}  CONFIDENCE: 0.6827309236947792
IF set: {'5', '38', '39', '86', '36', '14'}  THEN set: {'60', '93', '92'}  CONFIDENCE: 0.7359307359307359
IF set: {'5', '38', '93', '39', '86', '14'}  THEN set: {'60', '36', '92'}  CONFIDENCE: 0.8095238095238095
IF set: {'5', '38', '60', '39', '86', '14'}  THEN set: {'92', '36', '93'}  CONFIDENCE: 0.7456140350877193
IF set: {'5', '38', '92', '39', '86', '14'}  THEN set: {'60', '36', '93'}  CONFIDENCE: 0.7657657657657657
IF set: {'5', '38', '93', '39', '86', '36', '14'}  THEN set: {'60', '92'}  CONFIDENCE: 0.85
IF set: {'5', '38', '60', '39', '86', '36', '14'}  THEN set: {'92', '93'}  CONFIDENCE: 0.8056872037914692
IF set: {'5', '38', '92', '39', '86', '36', '14'}  THEN set: {'60', '93'}  CONFIDENCE: 0.8056872037914692
IF set: {'5', '38', '93', '60', '39', '86', '14'}  THEN set: {'92', '36'}  CONFIDENCE: 0.8808290155440415
IF set: {'5', '38', '93', '92', '39', '86', '14'}  THEN set: {'60', '36'}  CONFIDENCE: 0.8717948717948718
IF set: {'5', '38', '60', '39', '86', '14', '92'}  THEN set: {'36', '93'}  CONFIDENCE: 0.845771144278607
IF set: {'5', '38', '60', '92', '36', '93', '86', '14'}  THEN set: {'39'}  CONFIDENCE: 1.0
IF set: {'5', '38', '60', '39', '36', '93', '86', '14'}  THEN set: {'92'}  CONFIDENCE: 0.9289617486338798
IF set: {'5', '38', '60', '92', '39', '36', '93', '86'}  THEN set: {'14'}  CONFIDENCE: 0.9883720930232558
IF set: {'5', '38', '92', '39', '36', '93', '86', '14'}  THEN set: {'60'}  CONFIDENCE: 0.918918918918919
IF set: {'5', '38', '60', '92', '39', '36', '86', '14'}  THEN set: {'93'}  CONFIDENCE: 0.8900523560209425
IF set: {'5', '60', '92', '39', '36', '93', '86', '14'}  THEN set: {'38'}  CONFIDENCE: 0.9883720930232558
IF set: {'5', '38', '60', '92', '39', '93', '86', '14'}  THEN set: {'36'}  CONFIDENCE: 0.9550561797752809
IF set: {'48', '86', '23', '5'}  THEN set: {'38', '93'}  CONFIDENCE: 0.8465346534653465
IF set: {'48', '86', '38', '5'}  THEN set: {'23', '93'}  CONFIDENCE: 0.7307692307692307
IF set: {'48', '86', '5', '93'}  THEN set: {'38', '23'}  CONFIDENCE: 0.7339055793991416
IF set: {'48', '5', '38', '86', '23'}  THEN set: {'93'}  CONFIDENCE: 0.9395604395604396
IF set: {'48', '5', '93', '86', '23'}  THEN set: {'38'}  CONFIDENCE: 0.9243243243243243
IF set: {'48', '5', '38', '93', '86'}  THEN set: {'23'}  CONFIDENCE: 0.8221153846153846
IF set: {'48', '5', '86', '36'}  THEN set: {'14', '23', '93'}  CONFIDENCE: 0.6772908366533864
IF set: {'48', '5', '86', '14'}  THEN set: {'23', '36', '93'}  CONFIDENCE: 0.68
IF set: {'48', '5', '86', '23', '36'}  THEN set: {'93', '14'}  CONFIDENCE: 0.8900523560209425
IF set: {'48', '5', '93', '86', '36'}  THEN set: {'23', '14'}  CONFIDENCE: 0.7623318385650224
IF set: {'48', '5', '86', '36', '14'}  THEN set: {'23', '93'}  CONFIDENCE: 0.7112970711297071
IF set: {'48', '5', '86', '23', '14'}  THEN set: {'36', '93'}  CONFIDENCE: 0.8808290155440415
IF set: {'48', '5', '93', '86', '14'}  THEN set: {'23', '36'}  CONFIDENCE: 0.7657657657657657
IF set: {'48', '5', '93', '86', '23', '36'}  THEN set: {'14'}  CONFIDENCE: 0.96045197740113
IF set: {'48', '5', '86', '23', '36', '14'}  THEN set: {'93'}  CONFIDENCE: 0.9239130434782609
IF set: {'48', '5', '93', '86', '36', '14'}  THEN set: {'23'}  CONFIDENCE: 0.794392523364486
IF set: {'48', '5', '93', '86', '23', '14'}  THEN set: {'36'}  CONFIDENCE: 0.96045197740113
IF set: {'39', '48', '86', '5'}  THEN set: {'14', '23', '36', '93'}  CONFIDENCE: 0.6538461538461539
IF set: {'48', '5', '39', '86', '36'}  THEN set: {'14', '23', '93'}  CONFIDENCE: 0.6882591093117408
IF set: {'48', '5', '39', '23', '86'}  THEN set: {'14', '36', '93'}  CONFIDENCE: 0.8542713567839196
IF set: {'48', '5', '93', '39', '86'}  THEN set: {'23', '36', '14'}  CONFIDENCE: 0.74235807860262
IF set: {'48', '5', '39', '86', '14'}  THEN set: {'23', '36', '93'}  CONFIDENCE: 0.68
IF set: {'48', '5', '39', '23', '86', '36'}  THEN set: {'93', '14'}  CONFIDENCE: 0.8994708994708994
IF set: {'48', '5', '93', '39', '86', '36'}  THEN set: {'23', '14'}  CONFIDENCE: 0.7727272727272727
IF set: {'48', '5', '39', '86', '36', '14'}  THEN set: {'23', '93'}  CONFIDENCE: 0.7112970711297071
IF set: {'48', '5', '93', '39', '23', '86'}  THEN set: {'36', '14'}  CONFIDENCE: 0.9340659340659341
IF set: {'48', '5', '39', '23', '86', '14'}  THEN set: {'36', '93'}  CONFIDENCE: 0.8808290155440415
IF set: {'48', '5', '93', '39', '86', '14'}  THEN set: {'23', '36'}  CONFIDENCE: 0.7657657657657657
IF set: {'48', '5', '93', '86', '23', '36', '14'}  THEN set: {'39'}  CONFIDENCE: 1.0
IF set: {'48', '5', '93', '39', '23', '36', '14'}  THEN set: {'86'}  CONFIDENCE: 1.0
IF set: {'5', '93', '39', '23', '86', '36', '14'}  THEN set: {'48'}  CONFIDENCE: 1.0
IF set: {'48', '5', '93', '39', '23', '86', '36'}  THEN set: {'14'}  CONFIDENCE: 0.9714285714285714
IF set: {'48', '5', '39', '23', '86', '36', '14'}  THEN set: {'93'}  CONFIDENCE: 0.9239130434782609
IF set: {'48', '5', '93', '39', '86', '36', '14'}  THEN set: {'23'}  CONFIDENCE: 0.794392523364486
IF set: {'48', '5', '93', '39', '23', '86', '14'}  THEN set: {'36'}  CONFIDENCE: 0.96045197740113
IF set: {'48', '86', '5'}  THEN set: {'39', '23', '36', '93'}  CONFIDENCE: 0.660377358490566
IF set: {'48', '5', '38', '86', '14'}  THEN set: {'23', '93'}  CONFIDENCE: 0.7264957264957265
IF set: {'48', '5', '38', '93', '23', '14'}  THEN set: {'86'}  CONFIDENCE: 1.0
IF set: {'5', '38', '93', '86', '23', '14'}  THEN set: {'48'}  CONFIDENCE: 1.0
IF set: {'48', '5', '38', '93', '86', '23'}  THEN set: {'14'}  CONFIDENCE: 0.9941520467836257
IF set: {'48', '5', '38', '86', '23', '14'}  THEN set: {'93'}  CONFIDENCE: 0.9340659340659341
IF set: {'48', '5', '38', '93', '86', '14'}  THEN set: {'23'}  CONFIDENCE: 0.8173076923076923
IF set: {'48', '5', '38', '39', '86'}  THEN set: {'23', '93'}  CONFIDENCE: 0.7307692307692307
IF set: {'48', '5', '38', '93', '39', '23'}  THEN set: {'86'}  CONFIDENCE: 1.0
IF set: {'5', '38', '93', '39', '23', '86'}  THEN set: {'48'}  CONFIDENCE: 1.0
IF set: {'48', '5', '38', '39', '23', '86'}  THEN set: {'93'}  CONFIDENCE: 0.9395604395604396
IF set: {'48', '5', '38', '93', '39', '86'}  THEN set: {'23'}  CONFIDENCE: 0.8221153846153846
IF set: {'60', '48', '86', '5'}  THEN set: {'93'}  CONFIDENCE: 0.8967136150234741
IF set: {'92', '48', '86', '5'}  THEN set: {'60', '93'}  CONFIDENCE: 0.7333333333333333
IF set: {'48', '5', '93', '60', '86'}  THEN set: {'92'}  CONFIDENCE: 0.9214659685863874
IF set: {'48', '5', '93', '92', '86'}  THEN set: {'60'}  CONFIDENCE: 0.8341232227488151
IF set: {'48', '5', '60', '86', '92'}  THEN set: {'93'}  CONFIDENCE: 0.8888888888888888
IF set: {'48', '5', '38', '60', '86'}  THEN set: {'92', '93'}  CONFIDENCE: 0.8262910798122066
IF set: {'48', '5', '38', '92', '86'}  THEN set: {'60', '93'}  CONFIDENCE: 0.8036529680365296
IF set: {'48', '5', '38', '93', '60', '86'}  THEN set: {'92'}  CONFIDENCE: 0.9214659685863874
IF set: {'48', '5', '38', '93', '92', '86'}  THEN set: {'60'}  CONFIDENCE: 0.9119170984455959
IF set: {'48', '5', '38', '60', '86', '92'}  THEN set: {'93'}  CONFIDENCE: 0.8888888888888888
IF set: {'48', '5', '93', '60', '86', '92'}  THEN set: {'38'}  CONFIDENCE: 1.0
IF set: {'48', '5', '60', '86', '14'}  THEN set: {'92', '93'}  CONFIDENCE: 0.8262910798122066
IF set: {'48', '5', '92', '86', '14'}  THEN set: {'60', '93'}  CONFIDENCE: 0.7586206896551724
IF set: {'48', '5', '93', '60', '86', '14'}  THEN set: {'92'}  CONFIDENCE: 0.9214659685863874
IF set: {'48', '5', '93', '92', '86', '14'}  THEN set: {'60'}  CONFIDENCE: 0.8627450980392157
IF set: {'48', '5', '60', '86', '14', '92'}  THEN set: {'93'}  CONFIDENCE: 0.8888888888888888
IF set: {'48', '5', '38', '60', '86', '14'}  THEN set: {'92', '93'}  CONFIDENCE: 0.8262910798122066
IF set: {'48', '5', '38', '92', '86', '14'}  THEN set: {'60', '93'}  CONFIDENCE: 0.8036529680365296
IF set: {'48', '5', '38', '93', '60', '86', '14'}  THEN set: {'92'}  CONFIDENCE: 0.9214659685863874
IF set: {'48', '5', '38', '93', '60', '86', '92'}  THEN set: {'14'}  CONFIDENCE: 1.0
IF set: {'48', '5', '38', '93', '92', '86', '14'}  THEN set: {'60'}  CONFIDENCE: 0.9119170984455959
IF set: {'48', '5', '38', '60', '86', '14', '92'}  THEN set: {'93'}  CONFIDENCE: 0.8888888888888888
IF set: {'48', '5', '93', '60', '86', '14', '92'}  THEN set: {'38'}  CONFIDENCE: 1.0
IF set: {'48', '5', '60', '86', '36'}  THEN set: {'93'}  CONFIDENCE: 0.9014778325123153
IF set: {'48', '5', '92', '86', '36'}  THEN set: {'60', '93'}  CONFIDENCE: 0.7543859649122807
IF set: {'48', '5', '93', '60', '86', '36'}  THEN set: {'92'}  CONFIDENCE: 0.9398907103825137
IF set: {'48', '5', '93', '92', '86', '36'}  THEN set: {'60'}  CONFIDENCE: 0.8514851485148515
IF set: {'48', '5', '60', '86', '36', '92'}  THEN set: {'93'}  CONFIDENCE: 0.9148936170212766
IF set: {'48', '5', '38', '86', '36'}  THEN set: {'60', '93', '92'}  CONFIDENCE: 0.7713004484304933
IF set: {'48', '5', '38', '93', '86', '36'}  THEN set: {'60', '92'}  CONFIDENCE: 0.86
IF set: {'48', '5', '38', '60', '86', '36'}  THEN set: {'92', '93'}  CONFIDENCE: 0.8472906403940886
IF set: {'48', '5', '38', '92', '86', '36'}  THEN set: {'60', '93'}  CONFIDENCE: 0.8269230769230769
IF set: {'48', '5', '38', '93', '60', '86', '36'}  THEN set: {'92'}  CONFIDENCE: 0.9398907103825137
IF set: {'48', '5', '38', '93', '92', '86', '36'}  THEN set: {'60'}  CONFIDENCE: 0.9297297297297298
IF set: {'48', '5', '38', '60', '86', '36', '92'}  THEN set: {'93'}  CONFIDENCE: 0.9148936170212766
IF set: {'48', '5', '93', '60', '86', '36', '92'}  THEN set: {'38'}  CONFIDENCE: 1.0
IF set: {'48', '5', '60', '86', '36', '14'}  THEN set: {'92', '93'}  CONFIDENCE: 0.8472906403940886
IF set: {'48', '5', '92', '86', '36', '14'}  THEN set: {'60', '93'}  CONFIDENCE: 0.7782805429864253
IF set: {'48', '5', '93', '60', '86', '36', '14'}  THEN set: {'92'}  CONFIDENCE: 0.9398907103825137
IF set: {'48', '5', '93', '92', '86', '36', '14'}  THEN set: {'60'}  CONFIDENCE: 0.8775510204081632
IF set: {'48', '5', '60', '86', '36', '14', '92'}  THEN set: {'93'}  CONFIDENCE: 0.9148936170212766
IF set: {'48', '5', '38', '86', '36', '14'}  THEN set: {'92', '93'}  CONFIDENCE: 0.8295964125560538
IF set: {'48', '5', '38', '93', '86', '36', '14'}  THEN set: {'92'}  CONFIDENCE: 0.925
IF set: {'48', '5', '38', '92', '86', '36', '14'}  THEN set: {'93'}  CONFIDENCE: 0.8894230769230769
IF set: {'48', '5', '38', '60', '86', '36', '14'}  THEN set: {'93'}  CONFIDENCE: 0.9014778325123153
IF set: {'48', '5', '60', '39', '86'}  THEN set: {'36', '93'}  CONFIDENCE: 0.8591549295774648
IF set: {'48', '5', '60', '39', '86', '36'}  THEN set: {'93'}  CONFIDENCE: 0.9014778325123153
IF set: {'48', '5', '93', '60', '39', '86'}  THEN set: {'36'}  CONFIDENCE: 0.9581151832460733
IF set: {'48', '5', '92', '39', '86'}  THEN set: {'60', '36', '93'}  CONFIDENCE: 0.7166666666666667
IF set: {'48', '5', '92', '39', '86', '36'}  THEN set: {'60', '93'}  CONFIDENCE: 0.7543859649122807
IF set: {'48', '5', '93', '92', '39', '86'}  THEN set: {'60', '36'}  CONFIDENCE: 0.8151658767772512
IF set: {'48', '5', '60', '39', '86', '92'}  THEN set: {'36', '93'}  CONFIDENCE: 0.8686868686868687
IF set: {'48', '5', '93', '60', '39', '86', '36'}  THEN set: {'92'}  CONFIDENCE: 0.9398907103825137
IF set: {'48', '5', '93', '92', '39', '86', '36'}  THEN set: {'60'}  CONFIDENCE: 0.8514851485148515
IF set: {'48', '5', '60', '39', '86', '36', '92'}  THEN set: {'93'}  CONFIDENCE: 0.9148936170212766
IF set: {'48', '5', '93', '60', '39', '86', '92'}  THEN set: {'36'}  CONFIDENCE: 0.9772727272727273
IF set: {'48', '5', '38', '39', '86', '36'}  THEN set: {'60', '93', '92'}  CONFIDENCE: 0.7713004484304933
IF set: {'48', '5', '38', '60', '39', '86'}  THEN set: {'92', '36', '93'}  CONFIDENCE: 0.8075117370892019
IF set: {'48', '5', '38', '92', '39', '86'}  THEN set: {'60', '36', '93'}  CONFIDENCE: 0.7853881278538812
IF set: {'48', '5', '38', '93', '39', '86', '36'}  THEN set: {'60', '92'}  CONFIDENCE: 0.86
IF set: {'48', '5', '38', '60', '39', '86', '36'}  THEN set: {'92', '93'}  CONFIDENCE: 0.8472906403940886
IF set: {'48', '5', '38', '92', '39', '86', '36'}  THEN set: {'60', '93'}  CONFIDENCE: 0.8269230769230769
IF set: {'48', '5', '38', '93', '60', '39', '86'}  THEN set: {'92', '36'}  CONFIDENCE: 0.900523560209424
IF set: {'48', '5', '38', '93', '92', '39', '86'}  THEN set: {'60', '36'}  CONFIDENCE: 0.8911917098445595
IF set: {'48', '5', '38', '60', '39', '86', '92'}  THEN set: {'36', '93'}  CONFIDENCE: 0.8686868686868687
